title,release_date,price,item_id,developer,0
Lost Summoner Kitty,2018,4.99,761140,Kotoshiro,Action
Ironbound,2018,0,643980,Secret Level SRL,Free to Play
Real Pool 3D - Poolians,2017,0,670290,Poolians.com,Casual
弹炸人2222,2017,0.99,767400,彼岸领域,Action
Battle Royale Trainer,2018,3.99,772540,Trickjump Games Ltd,Action
SNOW - All Access Basic Pass,2018,9.99,774276,Poppermost Productions,Free to Play
SNOW - All Access Pro Pass,2018,18.99,774277,Poppermost Productions,Free to Play
SNOW - All Access Legend Pass,2018,29.99,774278,Poppermost Productions,Free to Play
Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018,10.99,770380,Stegalosaurus Game Development,Action
Beach Rules,2018,3.99,768880,Copperpick Studio,Casual
Planetarium 2 - Zen Odyssey,2018,2.99,765320,Ghulam Jewel,Casual
The first thrust of God,2018,1.59,773650,Apillo,Adventure
SNOW - Starter Pack,2018,14.99,774271,Poppermost Productions,Free to Play
The first thrust of God - All Aircrafts,2018,1.99,773690,Apillo,Adventure
SNOW - Lifetime Pack,2018,59.99,774279,Poppermost Productions,Free to Play
The Warrior Of Treasures,2018,0.99,768060,Tero Lunkka,Action
RC Plane 3 - Canyon Scenario,2017,2.99,775880,FrozenPepper,Racing
RC Plane 3 - F-53B,2017,2.99,775881,FrozenPepper,Racing
DinoBlaster,2018,4.99,653960,Casey Labrack,Action
Carmageddon Max Pack,1997,9.99,282010,Stainless Games Ltd,Action
Half-Life,1998,9.99,70,Valve,Action
Fallen Mage,2016,1.99,752360,dev4play,Action
Vaporwave Simulator,2018,0.99,766850,ETGgames,Casual
Underdone - Soundtrack,2018,8.99,754360,The Commander,Action
Bitcoin Clicker,2018,0.99,716110,"lalalaZero,Urbanoff",Adventure
Disciples II: Gallean's Return,2006,6.99,1640,Strategy First,Strategy
Disciples II: Rise of the Elves,2006,6.99,1630,Strategy First,Strategy
The Ship: Murder Party,2006,9.99,2400,Outerlight Ltd.,Action
Souland,2017,7.99,759920,Ultraint,Action
TAROTICA VOO DOO,2017,10.99,603280,TPM.CO SOFT WORKS,Action
Chronicles of Vinland,2017,9.99,753110,Wonderbox Games,Casual
Orbitality,2017,9.99,753100,Wonderbox Games,Action
Atomic Adam: Episode 1,2017,1.99,764280,Mad Unicorn Games,Action
Mirt. Tales of the Cold Land. Chapter 2,2017,0.99,758550,Emanon Studios,Adventure
Advent Rising,2005,9.99,3800,GlyphX Games,Action
DEFCON,2006,9.99,1520,Introversion Software,Indie
The Ship: Single Player,2006,9.99,2420,Outerlight Ltd.,Action
